LSOA2001,PTAI2015,PTAL
E01000259,1.74679,1a
E01000260,2.56492,1b
E01000261,2.93094,1b
E01000262,1.96018,1a
E01000263,5.37449,2
E01000264,10.9522,3
E01000265,5.79479,2
E01000266,4.41078,1b
E01000267,7.58199,2
E01000268,13.783,3
E01000269,10.0329,3
E01000270,10.4929,3
E01000271,9.08156,2
E01000272,7.15502,2
E01000273,12.1505,3
E01000274,6.76218,2
E01000275,7.42912,2
E01000276,2.91234,1b
E01000277,10.138,3
E01000278,5.12517,2
E01000279,1.48978,1a
E01000280,4.76207,1b
E01000281,10.1968,3
E01000282,9.58732,2
E01000283,4.22068,1b
E01000284,7.85811,2
E01000285,3.18573,1b
E01000286,4.57522,1b
E01000287,4.13223,1b
E01000288,8.34093,2
E01000289,6.94427,2
E01000290,1.48016,1a
E01000291,3.04293,1b
E01000292,8.10976,2
E01000293,16.1789,4
E01000294,6.76124,2
E01000295,14.5725,3
E01000296,16.7983,4
E01000297,5.7428,2
E01000298,12.4266,3
E01000299,12.996,3
E01000300,11.1317,3
E01000301,11.159,3
E01000302,14.0582,3
E01000303,7.75464,2
E01000304,8.91359,2
E01000305,4.53612,1b
E01000306,10.6458,3
E01000307,13.5832,3
E01000308,3.59251,1b
E01000309,13.4253,3
E01000310,16.9418,4
E01000311,11.2528,3
E01000312,7.46376,2
E01000313,12.4284,3
E01000314,17.8886,4
E01000315,4.27959,1b
E01000316,5.17573,2
E01000317,13.0089,3
E01000318,7.65489,2
E01000319,5.79505,2
E01000320,4.41757,1b
E01000321,8.3204,2
E01000322,5.7123,2
E01000323,12.3449,3
E01000324,6.64776,2
E01000325,8.32679,2
E01000326,3.41403,1b
E01000327,13.2003,3
E01000328,2.85065,1b
E01000329,8.2841,2
E01000330,17.4417,4
E01000331,3.10323,1b
E01000332,7.26014,2
E01000333,4.65451,1b
E01000334,3.74277,1b
E01000335,3.6927,1b
E01000336,8.93537,2
E01000337,4.86354,1b
E01000338,7.48566,2
E01000339,4.67548,1b
E01000340,2.61588,1b
E01000341,3.27627,1b
E01000342,2.81472,1b
E01000343,4.57313,1b
E01000344,4.49253,1b
E01000345,4.67157,1b
E01000346,3.83546,1b
E01000347,4.94347,1b
E01000348,3.23538,1b
E01000349,4.25791,1b
E01000350,3.73397,1b
E01000351,3.14063,1b
E01000352,4.45,1b
E01000353,3.8967,1b
E01000354,6.97214,2
E01000355,7.68435,2
E01000356,12.1571,3
E01000357,6.53809,2
E01000358,8.54207,2
E01000359,4.70258,1b
E01000360,16.1787,4
E01000361,5.08739,2
E01000362,15.0623,4
