LSOA2001,PTAI2015,PTAL
E01001126,3.31546,1b
E01001127,3.62671,1b
E01001128,3.93676,1b
E01001129,3.70236,1b
E01001130,3.31092,1b
E01001131,1.02423,1a
E01001132,3.00865,1b
E01001133,5.21562,2
E01001134,4.0949,1b
E01001135,5.39222,2
E01001136,20.6391,5
E01001137,7.3365,2
E01001138,8.5288,2
E01001139,12.2328,3
E01001140,5.83809,2
E01001141,8.06069,2
E01001142,11.5129,3
E01001143,10.6516,3
E01001144,19.0996,4
E01001145,20.6841,5
E01001146,4.45021,1b
E01001147,5.38933,2
E01001148,3.73534,1b
E01001149,3.9559,1b
E01001150,5.4912,2
E01001151,11.5244,3
E01001152,14.2179,3
E01001153,12.7251,3
E01001154,16.3767,4
E01001155,18.3158,4
E01001156,7.79475,2
E01001157,4.17033,1b
E01001158,6.97896,2
E01001159,6.86094,2
E01001160,3.7993,1b
E01001161,4.91127,1b
E01001162,9.15466,2
E01001163,8.4111,2
E01001164,18.0235,4
E01001165,16.8347,4
E01001166,21.47,5
E01001167,10.6564,3
E01001168,13.6122,3
E01001169,6.67047,2
E01001170,18.5177,4
E01001171,11.0295,3
E01001172,5.20042,2
E01001173,3.92644,1b
E01001174,3.57748,1b
E01001175,12.1109,3
E01001176,7.8819,2
E01001177,5.57449,2
E01001178,11.3036,3
E01001179,6.14915,2
E01001180,8.17941,2
E01001181,11.9405,3
E01001182,5.69905,2
E01001183,9.61681,2
E01001184,4.81027,1b
E01001185,14.2253,3
E01001186,10.3514,3
E01001187,5.57256,2
E01001188,16.6518,4
E01001189,12.9091,3
E01001190,8.52501,2
E01001191,20.2794,5
E01001192,13.6709,3
E01001193,5.90949,2
E01001194,9.51461,2
E01001195,8.06875,2
E01001196,11.8436,3
E01001197,7.27699,2
E01001198,6.1072,2
E01001199,7.80866,2
E01001200,4.75259,1b
E01001201,5.55384,2
E01001202,15.4907,4
E01001203,11.5373,3
E01001204,9.82003,2
E01001205,7.12506,2
E01001206,5.11688,2
E01001207,11.1594,3
E01001208,8.15917,2
E01001209,4.40132,1b
E01001210,9.25472,2
E01001211,6.77418,2
E01001212,8.41055,2
E01001213,12.4024,3
E01001214,8.05694,2
E01001215,17.6073,4
E01001216,10.8794,3
E01001217,4.49055,1b
E01001218,4.8878,1b
E01001219,5.44864,2
E01001220,7.48066,2
E01001221,31.6011,6a
E01001222,19.6876,4
E01001223,14.3254,3
E01001224,8.95784,2
E01001225,32.1159,6a
E01001226,16.6827,4
E01001227,9.71054,2
E01001228,24.1783,5
E01001229,7.69599,2
E01001230,8.20796,2
E01001231,13.3763,3
E01001232,3.38281,1b
E01001233,12.0256,3
E01001234,16.0027,4
E01001235,28.2544,6a
E01001236,14.1672,3
E01001237,4.9571,1b
E01001238,18.5242,4
E01001239,14.9832,3
E01001240,21.5877,5
E01001241,9.75545,2
E01001242,3.50465,1b
E01001243,13.3793,3
E01001244,10.7863,3
E01001245,10.9549,3
E01001246,12.8549,3
E01001247,10.3616,3
E01001248,4.91454,1b
E01001249,18.7442,4
E01001250,13.1669,3
E01001251,14.279,3
E01001252,14.8905,3
E01001253,5.60893,2
E01001254,8.62924,2
E01001255,7.70175,2
E01001256,9.7416,2
E01001257,7.0454,2
E01001258,10.0857,3
E01001259,11.9615,3
E01001260,13.7473,3
E01001261,16.0815,4
E01001262,5.98263,2
E01001263,3.78341,1b
E01001264,3.27381,1b
E01001265,2.13603,1a
E01001266,9.70967,2
E01001267,8.61345,2
E01001268,4.44543,1b
E01001269,8.36389,2
E01001270,3.36559,1b
E01001271,6.9661,2
E01001272,14.6829,3
E01001273,9.99397,2
E01001274,8.73261,2
E01001275,18.8954,4
E01001276,6.17392,2
E01001277,12.7076,3
E01001278,17.0625,4
E01001279,6.53397,2
E01001280,8.94619,2
E01001281,5.89419,2
E01001282,8.6282,2
E01001283,12.9575,3
E01001284,7.34406,2
E01001285,7.67392,2
E01001286,6.75251,2
E01001287,5.17745,2
E01001288,8.26332,2
E01001289,8.6852,2
E01001290,5.79316,2
E01001291,8.70156,2
E01001292,7.31996,2
E01001293,5.52276,2
E01001294,5.55236,2
E01001295,5.83494,2
E01001296,6.06176,2
E01001297,5.43935,2
E01001298,7.63031,2
E01001299,9.2001,2
E01001300,13.2409,3
E01001301,8.74339,2
E01001302,11.1281,3
E01001303,12.4175,3
E01001304,9.87991,2
E01001305,7.02562,2
E01001306,9.20336,2
E01001307,2.71695,1b
E01001308,4.37092,1b
E01001309,4.05564,1b
E01001310,6.85308,2
E01001311,6.10874,2
E01001312,11.9273,3
E01001313,7.06644,2
E01001314,4.14117,1b
E01001315,7.7952,2
E01001316,9.92037,2
E01001317,6.90337,2
E01001318,10.7324,3
E01001319,10.536,3
E01001320,1.14032,1a
E01001321,7.9491,2
E01001322,10.0203,3
E01001323,14.4146,3
E01001324,6.31855,2
E01001325,1.6983,1a
E01001326,1.3623,1a
E01001327,6.8946,2
E01001328,6.96882,2
E01001329,4.09514,1b
E01001330,6.55277,2
E01001331,6.28616,2
E01001332,7.33593,2
E01001333,11.5261,3
E01001334,4.94345,1b
E01001335,1.55448,1a
E01001336,3.76878,1b
E01001337,3.47932,1b
E01001338,5.79925,2
E01001339,2.0779,1a
E01001340,4.40091,1b
E01001341,3.12931,1b
E01001342,4.0642,1b
E01001343,4.17243,1b
E01001344,9.27271,2
E01001345,4.40317,1b
E01001346,7.01963,2
E01001347,4.07255,1b
E01001348,10.9236,3
E01001349,8.29634,2
E01001350,11.7325,3
E01001351,19.5928,4
E01001352,18.863,4
E01001353,18.2015,4
E01001354,20.0663,5
E01001355,14.0272,3
E01001356,16.5029,4
E01001357,10.0101,3
E01001358,13.3212,3
E01001359,8.32297,2
E01001360,15.3754,4
E01001361,15.907,4
E01001362,11.7676,3
E01001363,6.80424,2
E01001364,4.90491,1b
E01001365,1.96248,1a
E01001366,5.22467,2
E01001367,14.3203,3
E01001368,6.58663,2
E01001369,10.4996,3
E01001370,4.14536,1b
E01001371,6.87915,2
E01001372,7.11601,2
E01001373,9.24759,2
E01001374,7.19784,2
E01001375,7.88778,2
E01001376,6.40356,2
E01001377,13.3374,3
E01001378,16.6446,4
E01001379,8.07519,2
E01001380,12.2946,3
E01001381,9.9014,2
E01001382,9.00221,2
E01001383,8.34792,2
E01001384,11.5707,3
E01001385,11.0812,3
E01001386,10.2136,3
E01001387,16.6774,4
E01001388,19.7149,4
E01001389,15.5369,4
E01001390,22.0523,5
E01001391,11.9268,3
E01001392,15.6239,4
E01001393,15.7885,4
E01001394,11.4705,3
E01001395,2.87649,1b
E01001396,11.9094,3
E01001397,7.4498,2
E01001398,8.65624,2
E01001399,7.35201,2
E01001400,7.77059,2
E01001401,8.2105,2
E01001402,6.76976,2
E01001403,5.44121,2
E01001404,1.38797,1a
E01001405,8.7394,2
E01001406,8.22871,2
E01001407,1.17166,1a
E01001408,9.04163,2
E01001409,3.28459,1b
E01001410,1.52191,1a
E01001411,5.30008,2
E01001412,0.567043,1a
E01001413,2.48798,1a
E01001414,3.94336,1b
E01001415,7.82283,2
E01001416,6.84386,2
E01001417,0.982582,1a
E01001418,9.09324,2
E01001419,11.7099,3
E01001420,4.87497,1b
E01001421,6.27626,2
E01001422,1.58118,1a
E01001423,12.8801,3
E01001424,21.2573,5
E01001425,17.237,4
E01001426,7.94062,2
E01001427,2.87703,1b
E01001428,8.04777,2
E01001429,22.6282,5
E01001430,19.3486,4
E01001431,6.33529,2
E01001432,14.7528,3
E01001433,5.31403,2
E01001434,3.48845,1b
E01001435,5.15217,2
E01001436,4.71077,1b
E01001437,1.97324,1a
E01001438,7.039,2
E01001439,7.97897,2
E01001440,7.76851,2
E01001441,5.27178,2
E01001442,8.96896,2
E01001443,2.62639,1b
E01001444,6.07616,2
E01001445,3.27794,1b
E01001446,7.56173,2
E01001447,6.99831,2
E01001448,7.98339,2
E01001449,7.15805,2
E01001450,16.3938,4
E01001451,8.44367,2
E01001452,3.50152,1b
E01001453,5.34408,2
E01001454,7.6884,2
E01001455,5.50234,2
E01001456,8.25406,2
E01001457,14.2864,3
E01001458,10.5278,3
E01001459,5.01113,2
E01001460,17.6689,4
E01001461,5.73127,2
E01001462,8.25871,2
E01001463,5.47216,2
E01001464,4.29331,1b
E01001465,6.53176,2
E01001466,9.78184,2
E01001467,8.5854,2
E01001468,4.64574,1b
E01001469,8.29827,2
E01001470,2.17007,1a
E01001471,4.387,1b
E01001472,10.9356,3
E01001473,3.26282,1b
E01001474,7.25554,2
E01001475,5.90111,2
E01001476,7.52983,2
E01001477,2.05333,1a
E01001478,3.89408,1b
E01001479,6.5805,2
E01001480,4.34252,1b
E01001481,3.89618,1b
E01001482,4.53853,1b
E01001483,1.3126,1a
E01001484,4.78858,1b
E01001485,20.3416,5
E01001486,5.79745,2
E01001487,11.7077,3
E01001488,10.0051,3
E01001489,7.01077,2
E01001490,1.89247,1a
E01001491,17.5329,4
E01001492,8.64801,2
E01001493,3.66313,1b
E01001494,3.24991,1b
E01001495,8.26542,2
E01001496,2.86578,1b
E01001497,2.7382,1b
E01001498,11.0077,3
E01001499,5.506,2
E01001500,6.56153,2
E01001501,12.5109,3
E01001502,6.39368,2
E01001503,7.15,2
E01001504,6.6924,2
E01001505,13.4337,3
E01001506,3.20376,1b
E01001507,13.134,3
E01001508,10.6091,3
E01001509,8.03187,2
E01001510,6.11118,2
E01001511,9.96331,2
E01001512,14.4902,3
E01001513,7.43327,2
E01001514,5.78446,2
E01001515,8.15854,2
E01001516,3.86339,1b
E01001517,5.99545,2
E01001518,8.49619,2
E01001519,16.7571,4
E01001520,11.8367,3
E01001521,11.2338,3
E01001522,3.44205,1b
E01001523,2.54461,1b
E01001524,8.07689,2
E01001525,8.66593,2
E01001526,3.27332,1b
E01001527,8.82121,2
E01001528,17.6354,4
E01001529,23.4961,5
E01001530,16.4096,4
E01001531,5.2557,2
E01001532,6.98344,2
E01001533,5.02745,2
E01001534,15.5492,4
E01001535,12.4735,3
E01001536,16.2406,4
E01001537,3.08794,1b
E01001538,2.47806,1a
E01001539,3.62389,1b
E01001540,10.0645,3
E01001541,7.14989,2
E01001542,6.09526,2
E01001543,3.31608,1b
E01001544,13.137,3
E01001545,3.99603,1b
E01001546,4.36887,1b
E01001547,7.18474,2
E01001548,5.88398,2
E01001549,4.96912,1b
E01001550,4.12527,1b
E01001551,3.8337,1b
E01001552,7.18376,2
E01001553,6.27548,2
E01001554,14.8202,3
E01001555,16.8233,4
E01001556,5.51978,2
E01001557,4.19238,1b
E01001558,19.9923,4
E01001559,4.19771,1b
E01001560,8.10062,2
E01001561,10.6691,3
E01001562,6.18583,2
E01001563,7.85202,2
E01001564,8.09673,2
E01001565,6.14599,2
E01001566,10.6742,3
E01001567,7.63737,2
E01001568,4.33127,1b
E01001569,9.19083,2
E01001570,4.11679,1b
E01001571,7.74002,2
E01001572,12.9467,3
E01001573,8.06914,2
E01001574,4.48118,1b
E01001575,11.7311,3
E01001576,4.19249,1b
E01001577,12.0021,3
E01001578,13.1268,3
E01001579,4.57239,1b
E01001580,13.6361,3
E01001581,18.2808,4
E01001582,5.49672,2
E01001583,6.40135,2
E01001584,7.16297,2
E01001585,13.5187,3
E01001586,14.2767,3
E01001587,10.9412,3
E01001588,9.09045,2
E01001589,15.3215,4
E01001590,18.1375,4
E01001591,15.4697,4
E01001592,15.1137,4
E01001593,13.6624,3
E01001594,11.2771,3
E01001595,8.93928,2
E01001596,4.12536,1b
E01001597,9.20431,2
E01001598,7.24491,2
E01001599,5.55739,2
E01001600,11.0486,3
E01001601,7.92187,2
E01001602,5.5598,2
E01001603,6.56139,2
E01001604,16.4534,4
E01001605,5.17734,2
E01001606,3.93432,1b
E01001607,10.7723,3
E01001608,9.34922,2
E01001609,20.6723,5
E01001610,3.3297,1b
E01001611,5.26864,2
E01001612,3.40468,1b
E01001613,9.08314,2
E01001614,6.93113,2
E01001615,9.83596,2
E01001616,5.69678,2
E01001617,9.25403,2
E01001618,6.40856,2
E01001619,10.172,3
E01001620,7.6276,2
E01001621,16.7791,4
E01001622,11.0532,3
E01001623,9.01112,2
E01001624,6.64714,2
E01001625,6.10696,2
E01001626,9.07767,2
E01001627,9.45309,2
E01001628,8.16897,2
E01001629,28.0165,6a
E01001630,5.36488,2
E01001631,23.6378,5
E01001632,17.7636,4
E01001633,9.81652,2
E01001634,11.0927,3
E01001635,6.77586,2
E01001636,9.82039,2
E01001637,8.01945,2
E01001638,15.6187,4
E01001639,9.24599,2
E01001640,16.7545,4
E01001641,21.2158,5
E01001642,7.90462,2
E01001643,19.6363,4
E01001644,20.0301,5
E01001645,4.08741,1b
E01001646,10.1039,3
E01001647,5.0229,2
E01001648,3.83941,1b
E01001649,2.25407,1a
E01001650,6.70168,2
E01001651,4.89099,1b
E01001652,7.27366,2
E01001653,3.33861,1b
E01001654,2.71472,1b
E01001655,5.77586,2
E01001656,3.82789,1b
E01001657,8.32607,2
E01001658,6.88436,2
E01001659,7.59428,2
E01001660,4.25407,1b
E01001661,6.34564,2
E01001662,14.7547,3
E01001663,9.02419,2
E01001664,18.6908,4
E01001665,17.1326,4
E01001666,13.3967,3
E01001667,7.48114,2
E01001668,13.7924,3
E01001669,4.49534,1b
E01001670,4.85676,1b
E01001671,4.85209,1b
E01001672,6.79843,2
E01001673,18.9953,4
E01001674,8.69146,2
E01001675,13.2773,3
E01001676,9.76127,2
E01001677,8.80362,2
E01001678,4.0287,1b
E01001679,4.96099,1b
E01001680,3.20166,1b
E01001681,5.21925,2
E01001682,5.11951,2
E01001683,6.50069,2
E01001684,4.61331,1b
E01001685,4.76072,1b
E01001686,4.7133,1b
E01001687,9.81414,2
E01001688,6.70936,2
E01001689,3.36758,1b
E01001690,9.11052,2
E01001691,3.5742,1b
E01001692,5.74261,2
E01001693,9.35191,2
E01001694,4.59608,1b
E01001695,30.148,6a
E01001696,39.5561,6a
E01001697,17.7606,4
E01001698,5.18507,2
E01001699,13.6846,3
E01001700,12.1093,3
E01001701,8.75448,2
E01001702,2.9455,1b
E01001703,6.82808,2
E01001704,7.74434,2
E01001705,17.9844,4
E01001706,12.1296,3
E01001707,26.7054,6a
E01001708,10.4058,3
E01001709,8.07817,2
E01001710,16.733,4
E01001711,7.87626,2
E01001712,15.3867,4
E01001713,13.6005,3
E01001714,22.2945,5
E01001715,34.1677,6a
E01001716,38.1211,6a
E01001717,13.3067,3
E01001718,45.3669,6b
E01001719,13.1775,3
E01001720,26.0275,6a
E01001721,21.298,5
E01001722,15.7142,4
E01001723,20.1773,5
E01001724,22.2223,5
E01001725,16.4691,4
E01001726,20.0355,5
E01001727,11.8331,3
E01001728,13.7357,3
E01001729,19.3979,4
E01001730,19.9055,4
E01001731,28.9991,6a
E01001732,22.0533,5
E01001733,15.8591,4
E01001734,31.4647,6a
E01001735,25.1142,6a
E01001736,9.24521,2
E01001737,9.14911,2
E01001738,13.532,3
E01001739,15.3851,4
E01001740,19.0568,4
E01001741,12.1197,3
E01001742,8.91873,2
E01001743,32.0788,6a
E01001744,25.5591,6a
E01001745,16.42,4
E01001746,14.8335,3
E01001747,24.584,5
E01001748,30.7987,6a
E01001749,27.3842,6a
E01001750,20.7304,5
E01001751,22.086,5
E01001752,13.4473,3
E01001753,13.2462,3
E01001754,19.1709,4
E01001755,17.3956,4
E01001756,30.4511,6a
E01001757,25.3951,6a
E01001758,29.7331,6a
E01001759,26.6748,6a
E01001760,36.8567,6a
E01001761,31.5836,6a
E01001762,30.3792,6a
E01001763,24.9477,5
E01001764,19.5365,4
E01001765,12.3483,3
E01001766,17.5915,4
E01001767,20.2887,5
E01001768,20.1154,5
E01001769,23.887,5
E01001770,24.8603,5
E01001771,63.6006,6b
E01001772,17.6674,4
E01001773,18.3073,4
E01001774,17.6693,4
E01001775,11.0014,3
E01001776,20.6871,5
E01001777,25.6752,6a
E01001778,33.0408,6a
E01001779,26.9558,6a
E01001780,37.2004,6a
E01001781,17.3974,4
E01001782,12.9071,3
E01001783,24.3934,5
E01001784,22.5587,5
E01001785,12.9576,3
E01001786,2.67104,1b
E01001787,5.03816,2
E01001788,3.5312,1b
E01001789,5.54548,2
E01001790,6.60471,2
E01001791,7.56684,2
E01001792,21.0307,5
E01001793,13.6069,3
E01001794,22.9605,5
E01001795,18.8688,4
E01001796,15.5029,4
E01001797,9.7536,2
E01001798,16.1,4
E01001799,14.4054,3
E01001800,20.2464,5
E01001801,8.13367,2
E01001802,8.90057,2
E01001803,6.05651,2
E01001804,6.74969,2
E01001805,19.5453,4
E01001806,8.51787,2
E01001807,13.7012,3
E01001808,22.7209,5
E01001809,21.2494,5
E01001810,20.9687,5
E01001811,12.8134,3
E01001812,10.5478,3
E01001813,27.3909,6a
E01001814,22.4269,5
E01001815,13.0801,3
E01001816,12.3444,3
E01001817,20.6326,5
E01001818,23.1774,5
E01001819,14.5195,3
E01001820,12.5464,3
E01001821,11.2855,3
E01001822,11.5382,3
E01001823,4.39832,1b
E01001824,6.39963,2
E01001825,12.8345,3
E01001826,15.5592,4
E01001827,6.24512,2
E01001828,8.10657,2
E01001829,19.9941,4
E01001830,19.4194,4
E01001831,26.1101,6a
E01001832,22.0006,5
E01001833,15.7732,4
E01001834,17.1627,4
E01001835,19.4627,4
E01001836,7.14736,2
E01001837,19.0507,4
E01001838,22.4844,5
E01001839,27.0887,6a
E01001840,17.0152,4
E01001841,7.21144,2
E01001842,19.8267,4
E01001843,11.9823,3
E01001844,15.3985,4
E01001845,11.1784,3
E01001846,8.47432,2
E01001847,14.4175,3
E01001848,14.6459,3
E01001849,10.5115,3
E01001850,15.3991,4
E01001851,27.4169,6a
E01001852,35.7209,6a
E01001853,31.6565,6a
E01001854,38.2792,6a
E01001855,21.7608,5
E01001856,29.5229,6a
E01001857,41.8017,6b
E01001858,10.758,3
E01001859,5.89318,2
E01001860,14.0358,3
E01001861,11.8285,3
E01001862,13.926,3
E01001863,12.2007,3
E01001864,10.9118,3
E01001865,6.1866,2
E01001866,27.0556,6a
E01001867,36.5579,6a
E01001868,26.1137,6a
E01001869,34.8747,6a
E01001870,22.8124,5
E01001871,28.9011,6a
E01001872,26.8532,6a
E01001873,13.3277,3
E01001874,12.4288,3
E01001875,24.0184,5
E01001876,7.54971,2
E01001877,7.6722,2
E01001878,22.164,5
E01001879,10.3729,3
E01001880,15.8487,4
E01001881,22.1271,5
E01001882,18.0451,4
E01001883,30.1086,6a
E01001884,28.5489,6a
E01001885,18.5902,4
E01001886,11.5994,3
E01001887,12.9319,3
E01001888,11.5857,3
E01001889,17.3667,4
E01001890,18.6165,4
E01001891,19.245,4
E01001892,9.19952,2
E01001893,35.5979,6a
E01001894,29.3786,6a
E01001895,16.1283,4
E01001896,27.0853,6a
E01001897,25.8155,6a
E01001898,47.0035,6b
E01001899,38.8981,6a
E01001900,35.9671,6a
E01001901,13.6968,3
E01001902,11.1985,3
E01001903,11.3134,3
E01001904,10.0848,3
E01001905,10.1906,3
E01001906,12.8076,3
E01001907,17.2494,4
E01001908,20.6515,5
E01001909,21.9269,5
E01001910,22.6554,5
E01001911,21.2924,5
E01001912,26.4231,6a
E01001913,20.3907,5
E01001914,22.0617,5
E01001915,12.2818,3
E01001916,13.605,3
E01001917,5.58477,2
E01001918,8.78817,2
E01001919,5.68468,2
E01001920,22.3507,5
E01001921,23.5796,5
E01001922,15.5779,4
E01001923,18.8185,4
E01001924,16.4333,4
E01001925,11.2043,3
E01001926,17.1532,4
E01001927,9.29892,2
E01001928,15.6955,4
E01001929,22.6342,5
E01001930,12.0684,3
E01001931,17.8779,4
E01001932,18.7448,4
E01001933,14.587,3
E01001934,5.51717,2
E01001935,11.3311,3
E01001936,11.5601,3
E01001937,7.60191,2
E01001938,12.6699,3
E01001939,11.5056,3
E01001940,18.218,4
E01001941,35.423,6a
E01001942,19.1223,4
E01001943,38.9978,6a
E01001944,25.9777,6a
E01001945,13.7473,3
E01001946,20.2491,5
E01001947,16.0178,4
E01001948,14.7052,3
E01001949,14.5174,3
E01001950,18.3188,4
E01001951,15.7079,4
E01001952,24.5006,5
E01001953,20.6443,5
E01001954,11.7927,3
E01001955,6.18756,2
E01001956,10.6588,3
E01001957,5.8514,2
E01001958,5.37843,2
E01001959,8.38498,2
E01001960,11.9181,3
E01001961,5.07781,2
E01001962,4.35859,1b
E01001963,5.75329,2
E01001964,9.12448,2
E01001965,11.6548,3
E01001966,4.85654,1b
E01001967,6.1274,2
E01001968,11.4542,3
E01001969,17.1817,4
E01001970,19.1231,4
E01001971,20.7745,5
E01001972,18.835,4
E01001973,14.1758,3
E01001974,21.4996,5
E01001975,15.0086,4
E01001976,17.0044,4
E01001977,12.6833,3
E01001978,22.805,5
E01001979,26.924,6a
E01001980,7.19553,2
E01001981,22.7172,5
E01001982,9.30547,2
E01001983,6.60909,2
E01001984,6.90362,2
E01001985,6.26197,2
E01001986,9.87737,2
E01001987,10.2329,3
E01001988,11.1774,3
E01001989,5.97875,2
E01001990,11.7294,3
E01001991,10.8383,3
E01001992,5.72074,2
E01001993,6.36317,2
E01001994,8.09537,2
E01001995,2.84053,1b
E01001996,7.13672,2
E01001997,14.1467,3
E01001998,20.4844,5
E01001999,17.8191,4
E01002000,11.0004,3
E01002001,16.2744,4
E01002002,28.7293,6a
E01002003,28.4334,6a
E01002004,22.47,5
E01002005,14.673,3
E01002006,12.2017,3
E01002007,16.8044,4
E01002008,4.39824,1b
E01002009,16.1737,4
E01002010,3.83909,1b
E01002011,10.8464,3
E01002012,10.9859,3
E01002013,5.29557,2
E01002014,15.1752,4
E01002015,8.69039,2
E01002016,12.4701,3
E01002017,12.5105,3
E01002018,4.1238,1b
E01002019,7.20425,2
E01002020,8.57564,2
E01002021,7.09473,2
E01002022,11.9249,3
E01002023,9.17213,2
E01002024,7.87105,2
E01002025,4.83291,1b
E01002026,29.3411,6a
E01002027,16.3865,4
E01002028,14.3582,3
E01002029,27.6246,6a
E01002030,18.6663,4
E01002031,35.8071,6a
E01002032,18.6713,4
E01002033,24.5788,5
E01002034,17.9726,4
E01002035,15.6637,4
E01002036,12.596,3
E01002037,5.60859,2
E01002038,17.2911,4
E01002039,10.2248,3
E01002040,11.1355,3
E01002041,15.9945,4
E01002042,7.49433,2
E01002043,10.5245,3
E01002044,15.8118,4
E01002045,10.3467,3
E01002046,15.5966,4
E01002047,15.4553,4
E01002048,17.3588,4
E01002049,9.75451,2
E01002050,18.3487,4
E01002051,29.0397,6a
E01002052,4.52285,1b
E01002053,22.5215,5
E01002054,12.8814,3
E01002055,24.7519,5
E01002056,11.8134,3
E01002057,3.9649,1b
E01002058,19.2417,4
E01002059,7.25735,2
E01002060,10.1713,3
E01002061,11.6706,3
E01002062,13.9798,3
E01002063,17.501,4
E01002064,29.6774,6a
E01002065,40.116,6b
E01002066,35.249,6a
E01002067,10.4349,3
E01002068,25.9971,6a
E01002069,29.1353,6a
E01002070,16.5093,4
E01002071,36.128,6a
E01002072,32.1932,6a
E01002073,24.4239,5
E01002074,16.1545,4
E01002075,7.64326,2
E01002076,7.8354,2
E01002077,21.8826,5
E01002078,16.5842,4
E01002079,15.1631,4
E01002080,17.4508,4
E01002081,31.706,6a
E01002082,5.26625,2
E01002083,12.9234,3
E01002084,7.06441,2
E01002085,32.6268,6a
E01002086,6.07318,2
E01002087,20.5788,5
E01002088,11.3333,3
E01002089,4.62245,1b
E01002090,4.43606,1b
E01002091,10.2624,3
E01002092,11.2721,3
E01002093,9.1637,2
E01002094,8.56103,2
E01002095,10.4466,3
E01002096,11.5762,3
E01002097,11.1328,3
E01002098,31.8988,6a
E01002099,17.225,4
E01002100,11.3071,3
E01002101,4.38739,1b
E01002102,10.0549,3
E01002103,11.0979,3
E01002104,7.75759,2
E01002105,31.5116,6a
E01002106,3.62664,1b
E01002107,2.83864,1b
E01002108,4.25284,1b
E01002109,4.20748,1b
E01002110,5.97362,2
E01002111,4.09008,1b
E01002112,6.15153,2
E01002113,2.54529,1b
E01002114,1.51628,1a
E01002115,4.80612,1b
E01002116,6.20727,2
E01002117,6.9707,2
E01002118,11.9563,3
E01002119,13.7771,3
E01002120,5.85658,2
E01002121,4.12416,1b
E01002122,5.75923,2
E01002123,13.4042,3
E01002124,3.03255,1b
E01002125,9.0629,2
E01002126,26.3567,6a
E01002127,18.8352,4
E01002128,14.069,3
E01002129,26.4433,6a
E01002130,18.4525,4
E01002131,6.53152,2
E01002132,9.26165,2
E01002133,9.18069,2
E01002134,3.71297,1b
E01002135,8.7729,2
E01002136,9.32134,2
E01002137,13.453,3
E01002138,5.02084,2
E01002139,6.02289,2
E01002140,8.0965,2
E01002141,4.99761,1b
E01002142,10.896,3
E01002143,7.52672,2
E01002144,1.64267,1a
E01002145,5.93427,2
E01002146,0.936908,1a
E01002147,1.22008,1a
E01002148,8.23542,2
E01002149,2.96627,1b
E01002150,6.84171,2
E01002151,9.74229,2
E01002152,4.2706,1b
E01002153,12.3132,3
E01002154,4.39177,1b
E01002155,1.90346,1a
E01002156,6.05169,2
E01002157,11.9061,3
E01002158,5.69312,2
E01002159,7.91382,2
E01002160,12.1416,3
E01002161,13.9476,3
E01002162,5.68922,2
E01002163,7.46044,2
E01002164,3.36821,1b
E01002165,8.01081,2
E01002166,4.52992,1b
E01002167,3.92671,1b
E01002168,4.34752,1b
E01002169,8.20812,2
E01002170,7.48029,2
E01002171,3.53079,1b
E01002172,5.88181,2
E01002173,6.3859,2
E01002174,8.13771,2
E01002175,8.25115,2
E01002176,11.2074,3
E01002177,4.3459,1b
E01002178,5.35355,2
E01002179,19.1454,4
E01002180,15.9124,4
E01002181,8.11366,2
E01002182,13.1961,3
E01002183,10.732,3
E01002184,6.03532,2
E01002185,4.13556,1b
E01002186,4.89275,1b
E01002187,4.00632,1b
E01002188,4.67791,1b
E01002189,7.81173,2
E01002190,0.734658,1a
E01002191,3.34303,1b
E01002192,4.98027,1b
E01002193,9.69307,2
E01002194,4.26002,1b
E01002195,4.25349,1b
E01002196,3.44001,1b
E01002197,5.0889,2
E01002198,7.24538,2
E01002199,7.44419,2
E01002200,5.39606,2
E01002201,4.0298,1b
E01002202,6.92978,2
E01002203,4.58829,1b
E01002204,14.6783,3
E01002205,3.05816,1b
E01002206,14.3339,3
E01002207,4.6496,1b
E01002208,7.41351,2
E01002209,14.8031,3
E01002210,9.77544,2
E01002211,6.32218,2
E01002212,8.05433,2
E01002213,12.7349,3
E01002214,5.13101,2
E01002215,5.96981,2
E01002216,5.32505,2
E01002217,5.81532,2
E01002218,12.2521,3
E01002219,15.4041,4
E01002220,4.55245,1b
E01002221,11.2533,3
E01002222,6.3186,2
E01002223,4.36898,1b
E01002224,3.04498,1b
E01002225,1.75818,1a
E01002226,5.30459,2
E01002227,3.76308,1b
E01002228,3.48418,1b
E01002229,2.41961,1a
E01002230,2.97468,1b
E01002231,4.32826,1b
E01002232,9.99304,2
E01002233,14.1991,3
E01002234,3.8861,1b
E01002235,7.95813,2
E01002236,13.9499,3
E01002237,18.1677,4
E01002238,9.37251,2
E01002239,10.2116,3
E01002240,11.2694,3
E01002241,5.00786,2
E01002242,13.0755,3
E01002243,14.5099,3
E01002244,5.23004,2
E01002245,9.1399,2
E01002246,2.71669,1b
E01002247,4.43939,1b
E01002248,6.74329,2
E01002249,12.7569,3
E01002250,2.26154,1a
E01002251,8.71603,2
E01002252,1.44704,1a
E01002253,2.19965,1a
E01002254,4.51793,1b
E01002255,2.1321,1a
E01002256,3.63439,1b
E01002257,14.9467,3
E01002258,4.56305,1b
E01002259,0.661991,1a
E01002260,2.38011,1a
E01002261,11.2591,3
E01002262,9.34301,2
E01002263,2.23081,1a
E01002264,6.80166,2
E01002265,2.48052,1a
E01002266,3.9442,1b
E01002267,4.73692,1b
E01002268,1.41548,1a
E01002269,1.81813,1a
